,AQI
0,38.0
1,38.0
2,38.0
3,38.0
4,38.0
5,38.0
6,38.0
7,43.0
8,52.0
9,52.0
10,63.0
11,50.0
12,30.0
13,38.0
14,42.0
15,45.0
16,43.0
17,43.0
18,43.0
19,52.0
20,58.0
21,38.0
22,53.0
23,48.0
24,40.0
25,40.0
26,45.0
27,55.0
28,44.0
29,41.0
30,37.0
31,45.0
32,57.0
33,56.0
34,48.0
35,52.0
36,53.0
37,54.0
38,60.0
39,49.0
40,60.0
41,69.0
42,55.0
43,38.0
44,27.0
45,35.0
46,34.0
47,24.0
48,22.0
49,22.0
50,26.0
51,26.0
52,26.0
53,31.0
54,43.0
55,35.0
56,47.0
57,38.0
58,38.0
59,38.0
60,35.0
61,38.0
62,88.0
63,38.0
64,49.0
65,35.0
66,45.0
67,35.0
68,49.0
69,55.0
70,58.0
71,61.0
72,53.0
73,51.0
74,43.0
75,35.0
76,58.0
77,74.0
78,61.0
79,89.0
80,68.0
81,77.0
82,59.0
83,105.0
84,43.0
85,37.0
86,49.0
87,65.0
88,61.0
89,85.0
90,77.0
91,75.0
92,52.0
93,53.0
94,53.0
95,53.0
96,53.0
97,53.0
98,137.0
99,137.0
100,137.0
101,137.0
102,137.0
103,137.0
104,137.0
105,137.0
106,137.0
107,137.0
108,216.0
109,185.0
110,366.0
111,119.0
112,120.0
113,100.0
114,137.0
115,137.0
116,137.0
117,137.0
118,137.0
119,111.0
120,122.0
121,110.0
122,111.0
123,116.0
124,114.0
125,104.0
126,104.0
127,106.0
128,105.0
129,86.0
130,82.0
131,58.0
132,64.0
133,72.0
134,87.0
135,193.0
136,148.0
137,82.0
138,107.0
139,152.0
140,126.0
141,164.0
142,164.0
143,103.0
144,88.0
145,168.0
146,96.0
147,104.0
148,102.0
149,82.0
150,100.0
151,96.0
152,105.0
153,96.0
154,240.0
155,96.0
156,104.0
157,91.0
158,92.0
159,95.0
160,55.0
161,112.0
162,80.0
163,41.0
164,100.0
165,101.0
166,99.0
167,160.0
168,202.0
169,256.0
170,227.0
171,147.0
172,110.0
173,105.0
174,184.0
175,230.0
176,233.0
177,193.0
178,176.0
179,179.0
180,143.0
181,155.0
182,149.0
183,138.0
184,138.0
185,133.0
186,156.0
187,171.0
188,136.0
189,142.0
190,131.0
191,121.0
192,115.0
193,103.0
194,101.0
195,115.0
196,118.0
197,115.0
198,121.0
199,106.0
200,160.0
201,143.0
202,117.0
203,116.0
204,95.0
205,114.0
206,293.0
207,180.0
208,113.0
209,106.0
210,115.0
211,174.0
212,136.0
213,117.0
214,109.0
215,131.0
216,110.0
217,84.0
218,73.0
219,111.0
220,105.0
221,110.0
222,107.0
223,114.0
224,89.0
225,101.0
226,128.0
227,124.0
228,128.0
229,146.0
230,101.0
231,92.0
232,102.0
233,91.0
234,106.0
235,115.0
236,80.0
237,94.0
238,117.0
239,96.0
240,83.0
241,95.0
242,102.0
243,115.0
244,96.0
245,105.0
246,120.0
247,107.0
248,110.0
249,131.0
250,102.0
251,103.0
252,98.0
253,137.0
254,113.0
255,153.0
256,127.0
257,121.0
258,108.0
259,93.0
260,116.0
261,125.0
262,89.0
263,116.0
264,115.0
265,113.0
266,101.0
267,93.0
268,97.0
269,106.0
270,107.0
271,116.0
272,108.0
273,104.0
274,130.0
275,126.0
276,116.0
277,125.0
278,129.0
279,118.0
280,103.0
281,102.0
282,102.0
283,102.0
284,102.0
285,102.0
286,102.0
287,102.0
288,118.0
289,110.0
290,117.0
291,111.0
292,124.0
293,111.0
294,103.0
295,105.0
296,104.0
297,64.0
298,68.0
299,74.0
300,75.0
301,85.0
302,65.0
303,100.0
304,111.0
305,105.0
306,125.0
307,128.0
308,105.0
309,83.0
310,72.0
311,89.0
312,94.0
313,103.0
314,80.0
315,80.0
316,80.0
317,80.0
318,80.0
319,80.0
320,80.0
321,80.0
322,80.0
323,80.0
324,80.0
325,80.0
326,84.0
327,115.0
328,100.0
329,104.0
330,89.0
331,95.0
332,81.0
333,82.0
334,85.0
335,97.0
336,78.0
337,81.0
338,114.0
339,86.0
340,95.0
341,73.0
342,67.0
343,83.0
344,65.0
345,68.0
346,101.0
347,72.0
348,67.0
349,62.0
350,59.0
351,55.0
352,49.0
353,41.0
354,43.0
355,51.0
356,65.0
357,59.0
358,64.0
359,60.0
360,48.0
361,54.0
362,55.0
363,51.0
364,52.0
365,65.0
366,55.0
367,57.0
368,71.0
369,70.0
370,71.0
371,61.0
372,69.0
373,61.0
374,43.0
375,52.0
376,58.0
377,62.0
378,56.0
379,45.0
380,43.0
381,45.0
382,43.0
383,54.0
384,49.0
385,45.0
386,43.0
387,49.0
388,57.0
389,38.0
390,30.0
391,34.0
392,28.0
393,33.0
394,37.0
395,36.0
396,36.0
397,45.0
398,49.0
399,41.0
400,40.0
401,44.0
402,39.0
403,40.0
404,45.0
405,42.0
406,32.0
407,32.0
408,30.0
409,30.0
410,26.0
411,28.0
412,29.0
413,36.0
414,38.0
415,34.0
416,34.0
417,37.0
418,44.0
419,44.0
420,44.0
421,42.0
422,37.0
423,40.0
424,35.0
425,30.0
426,35.0
427,49.0
428,48.0
429,39.0
430,42.0
431,42.0
